"",9/13/2016
"Timezone",-7

"Serial No.","370000003F3B6021"
"Location:",""
"High temperature limit (°C)",50
"Low temperature limit (°C)",-20
"Date - Time","Temperature (°C)"
42583.25,11.0
42583.29167,11.5
42583.33333,12.5
42583.375,17.5
42583.41667,24.0
42583.45833,29.0
42583.5,33.0
42583.54167,37.0
42583.58333,39.5
42583.625,39.0
42583.66667,37.5
42583.70833,33.5
42583.75,28.5
42583.79167,23.0
42583.83333,20.0
42583.875,17.5
42583.91667,16.5
42583.95833,15.0
42584,14.5
42584.04167,13.5
42584.08333,13.0
42584.125,12.5
42584.16667,12.0
42584.20833,12.0
42584.25,11.5
42584.29167,11.5
42584.33333,12.5
42584.375,17.5
42584.41667,24.0
42584.45833,29.0
42584.5,33.5
42584.54167,37.5
42584.58333,39.5
42584.625,39.5
42584.66667,37.5
42584.70833,34.0
42584.75,28.5
42584.79167,22.5
42584.83333,19.5
42584.875,17.0
42584.91667,15.5
42584.95833,14.5
42585,13.5
42585.04167,13.0
42585.08333,12.0
42585.125,11.5
42585.16667,11.0
42585.20833,10.5
42585.25,10.0
42585.29167,10.0
42585.33333,11.0
42585.375,16.5
42585.41667,23.5
42585.45833,29.0
42585.5,33.5
42585.54167,37.5
42585.58333,40.0
42585.625,39.5
42585.66667,37.5
42585.70833,34.0
42585.75,28.5
42585.79167,22.0
42585.83333,19.0
42585.875,16.5
42585.91667,15.0
42585.95833,15.0
42586,14.5
42586.04167,13.5
42586.08333,14.5
42586.125,14.0
42586.16667,13.5
42586.20833,14.0
42586.25,13.5
42586.29167,14.0
42586.33333,13.5
42586.375,18.0
42586.41667,19.5
42586.45833,27.5
42586.5,31.5
42586.54167,36.5
42586.58333,39.0
42586.625,39.0
42586.66667,37.5
42586.70833,33.5
42586.75,28.0
42586.79167,22.0
42586.83333,18.5
42586.875,16.0
42586.91667,14.5
42586.95833,13.5
42587,12.5
42587.04167,12.0
42587.08333,11.0
42587.125,10.5
42587.16667,10.0
42587.20833,10.0
42587.25,9.5
42587.29167,9.5
42587.33333,10.0
42587.375,15.5
42587.41667,23.0
42587.45833,28.5
42587.5,33.0
42587.54167,37.0
42587.58333,39.5
42587.625,39.5
42587.66667,37.5
42587.70833,33.0
42587.75,27.5
42587.79167,20.5
42587.83333,17.0
42587.875,14.5
42587.91667,13.0
42587.95833,12.0
42588,11.0
42588.04167,10.0
42588.08333,9.5
42588.125,9.0
42588.16667,8.0
42588.20833,7.5
42588.25,7.0
42588.29167,7.0
42588.33333,8.0
42588.375,13.5
42588.41667,20.0
42588.45833,25.5
42588.5,30.0
42588.54167,34.0
42588.58333,36.0
42588.625,36.5
42588.66667,36.0
42588.70833,32.0
42588.75,27.0
42588.79167,20.0
42588.83333,16.5
42588.875,14.0
42588.91667,13.0
42588.95833,11.5
42589,10.5
42589.04167,10.0
42589.08333,9.0
42589.125,8.5
42589.16667,8.0
42589.20833,7.5
42589.25,7.0
42589.29167,6.5
42589.33333,7.0
42589.375,13.0
42589.41667,20.0
42589.45833,25.5
42589.5,29.5
42589.54167,33.5
42589.58333,35.5
42589.625,36.5
42589.66667,34.0
42589.70833,31.5
42589.75,26.0
42589.79167,19.0
42589.83333,9.5
42589.875,7.5
42589.91667,6.0
42589.95833,5.5
42590,4.5
42590.04167,4.0
42590.08333,3.5
42590.125,2.5
42590.16667,2.0
42590.20833,2.0
42590.25,1.5
42590.29167,2.0
42590.33333,3.5
42590.375,21.0
42590.41667,27.0
42590.45833,30.5
42590.5,32.0
42590.54167,34.0
42590.58333,37.0
42590.625,40.5
42590.66667,34.0
42590.70833,31.0
42590.75,25.5
42590.79167,18.5
42590.83333,15.0
42590.875,13.0
42590.91667,11.0
42590.95833,9.5
42591,9.0
42591.04167,8.0
42591.08333,7.5
42591.125,6.5
42591.16667,6.0
42591.20833,5.5
42591.25,5.5
42591.29167,5.5
42591.33333,6.5
42591.375,17.0
42591.41667,22.5
42591.45833,26.5
42591.5,30.0
42591.54167,31.5
42591.58333,33.0
42591.625,33.5
42591.66667,32.0
42591.70833,30.0
42591.75,25.0
42591.79167,18.0
42591.83333,14.5
42591.875,12.0
42591.91667,10.5
42591.95833,9.5
42592,8.5
42592.04167,7.5
42592.08333,7.0
42592.125,6.5
42592.16667,6.0
42592.20833,5.5
42592.25,5.0
42592.29167,4.5
42592.33333,5.5
42592.375,16.0
42592.41667,22.5
42592.45833,26.5
42592.5,29.5
42592.54167,31.5
42592.58333,32.5
42592.625,33.5
42592.66667,32.5
42592.70833,29.0
42592.75,24.0
42592.79167,17.5
42592.83333,14.5
42592.875,12.5
42592.91667,11.0
42592.95833,9.5
42593,8.5
42593.04167,8.0
42593.08333,7.5
42593.125,7.0
42593.16667,6.5
42593.20833,6.0
42593.25,5.5
42593.29167,5.5
42593.33333,6.5
42593.375,17.5
42593.41667,23.5
42593.45833,28.0
42593.5,30.5
42593.54167,32.5
42593.58333,34.0
42593.625,34.0
42593.66667,33.0
42593.70833,30.0
42593.75,24.5
42593.79167,18.5
42593.83333,15.5
42593.875,13.0
42593.91667,12.0
42593.95833,10.5
42594,9.5
42594.04167,9.0
42594.08333,8.5
42594.125,8.0
42594.16667,7.5
42594.20833,7.0
42594.25,6.5
42594.29167,6.5
42594.33333,8.0
42594.375,19.0
42594.41667,25.0
42594.45833,29.0
42594.5,31.0
42594.54167,32.5
42594.58333,34.0
42594.625,33.5
42594.66667,32.5
42594.70833,30.0
42594.75,24.5
42594.79167,19.5
42594.83333,16.5
42594.875,14.5
42594.91667,13.0
42594.95833,12.0
42595,11.0
42595.04167,10.5
42595.08333,5.5
42595.125,5.0
42595.16667,4.5
42595.20833,4.5
42595.25,4.5
42595.29167,5.0
42595.33333,10.5
42595.375,25.0
42595.41667,33.5
42595.45833,36.0
42595.5,27.5
42595.54167,28.5
42595.58333,30.0
42595.625,31.5
42595.66667,31.5
42595.70833,29.5
42595.75,21.5
42595.79167,14.5
42595.83333,10.5
42595.875,8.5
42595.91667,7.0
42595.95833,6.5
42596,5.5
42596.04167,5.0
42596.08333,5.0
42596.125,4.5
42596.16667,4.0
42596.20833,4.0
42596.25,3.5
42596.29167,4.5
42596.33333,14.0
42596.375,25.0
42596.41667,29.5
42596.45833,29.5
42596.5,28.5
42596.54167,28.5
42596.58333,30.0
42596.625,32.0
42596.66667,31.0
42596.70833,29.5
42596.75,22.5
42596.79167,13.5
42596.83333,9.5
42596.875,7.0
42596.91667,6.0
42596.95833,5.5
42597,5.0
42597.04167,4.0
42597.08333,3.5
42597.125,3.0
42597.16667,2.5
42597.20833,2.5
42597.25,2.5
42597.29167,3.0
42597.33333,12.5
42597.375,23.5
42597.41667,27.5
42597.45833,27.5
42597.5,28.5
42597.54167,28.0
42597.58333,29.5
42597.625,31.5
42597.66667,31.0
42597.70833,29.0
42597.75,22.0
42597.79167,12.0
42597.83333,7.5
42597.875,5.5
42597.91667,4.5
42597.95833,4.0
42598,3.5
42598.04167,3.0
42598.08333,3.0
42598.125,2.5
42598.16667,2.0
42598.20833,1.5
42598.25,1.5
42598.29167,2.5
42598.33333,11.0
42598.375,22.5
42598.41667,27.5
42598.45833,29.0
42598.5,28.5
42598.54167,27.0
42598.58333,29.0
42598.625,32.0
42598.66667,30.5
42598.70833,28.5
42598.75,23.5
42598.79167,12.5
42598.83333,8.0
42598.875,6.0
42598.91667,5.5
42598.95833,5.0
42599,4.5
42599.04167,3.5
42599.08333,3.0
42599.125,2.5
42599.16667,2.0
42599.20833,2.0
42599.25,2.0
42599.29167,2.5
42599.33333,9.5
42599.375,21.0
42599.41667,28.0
42599.45833,28.5
42599.5,28.0
42599.54167,27.0
42599.58333,29.0
42599.625,30.5
42599.66667,31.0
42599.70833,29.0
42599.75,22.5
42599.79167,12.0
42599.83333,8.0
42599.875,5.5
42599.91667,4.5
42599.95833,4.0
42600,3.5
42600.04167,2.5
42600.08333,2.0
42600.125,2.0
42600.16667,1.5
42600.20833,1.0
42600.25,1.0
42600.29167,2.5
42600.33333,8.5
42600.375,22.0
42600.41667,25.5
42600.45833,27.5
42600.5,27.0
42600.54167,27.5
42600.58333,29.5
42600.625,30.0
42600.66667,29.0
42600.70833,27.5
42600.75,22.0
42600.79167,12.0
42600.83333,7.5
42600.875,5.5
42600.91667,4.5
42600.95833,4.0
42601,3.5
42601.04167,2.5
42601.08333,2.0
42601.125,1.5
42601.16667,1.5
42601.20833,1.5
42601.25,1.0
42601.29167,3.0
42601.33333,7.5
42601.375,21.5
42601.41667,27.0
42601.45833,26.5
42601.5,28.0
42601.54167,27.5
42601.58333,29.5
42601.625,30.0
42601.66667,29.0
42601.70833,29.5
42601.75,19.5
42601.79167,12.5
42601.83333,8.5
42601.875,6.5
42601.91667,6.0
42601.95833,5.5
42602,4.5
42602.04167,4.0
42602.08333,4.0
42602.125,3.5
42602.16667,3.5
42602.20833,3.5
42602.25,3.0
42602.29167,4.5
42602.33333,8.0
42602.375,20.5
42602.41667,25.5
42602.45833,28.0
42602.5,28.5
42602.54167,27.5
42602.58333,29.5
42602.625,29.5
42602.66667,29.5
42602.70833,29.5
42602.75,19.5
42602.79167,16.5
42602.83333,13.5
42602.875,11.0
42602.91667,8.5
42602.95833,8.5
42603,6.5
42603.04167,5.5
42603.08333,5.0
42603.125,4.5
42603.16667,4.5
42603.20833,4.0
42603.25,3.5
42603.29167,4.5
42603.33333,8.0
42603.375,19.5
42603.41667,24.5
42603.45833,26.5
42603.5,28.0
42603.54167,28.5
