STA,Station Name,River Basin,County,lon_X,lat_Y,Elev_ft,Operator,Flow_EH_2
ACK,ARCADE CK NR DEL PASO HTS,AMERICAN R,SACRAMENTO,-121.382,38.634,50,US Geological Survey,E
AFO,AMERICAN RIVER AT FAIR OAKS,AMERICAN R,SACRAMENTO,-121.2277298,38.6354599,72,US Geological Survey,E
ALN,ALAMEDA CK NR NILES,ALAMEDA CR,ALAMEDA,-121.9607925,37.5871582,86,US Geological Survey,E
ARC,MAD RIVER NEAR ARCATA,MAD R,HUMBOLDT,-124.0606155,40.90985107,33,USGS and DWR,E
ASS,ARROYO SECO NR SOLEDAD,SALINAS R,MONTEREY,-121.3227081,36.28052139,399,US Geological Survey,E
AVL,ARROYO VALLE NR LIVERMORE,EAST BAY,ALAMEDA,-121.7588425,37.62326431,510,US Geological Survey,E
BAS,SOUTH FORK BATTLE CREEK NEAR MANTON,SACRAMENTO R,TEHAMA,-121.9806747,40.40580368,997,CA Dept of Water Resources,E
BAT,BATTLE CREEK,SACRAMENTO R,TEHAMA,-122.1463852,40.39820862,200,USGS and DWR,E
BBG,BLACK BUTTE GENERATOR,SACRAMENTO R,TEHAMA,-122.3322,39.815,393,US Army Corps of Engineers,E
BBW,BW-12 IMPORT TO BUTTE CREEK,BUTTE CR,BUTTE,-121.6103287,39.88573074,2882,CA Dept of Water Resources,E
BCC,BLACK CREEK NR COPPEROPOLIS,STANISLAUS R,CALAVERAS,-120.6152039,37.96103668,746,US Geological Survey,E
BCD,BUTTE CREEK NR DURHAM,BUTTE CR,BUTTE,-121.7774811,39.67801285,190,CA Dept of Water Resources,E
BCK,BUTTE CREEK NR CHICO,BUTTE CR,BUTTE,-121.7088623,39.72599411,300,US Geological Survey,E
BCW,BULL CREEK NEAR WEOTT,EEL R,HUMBOLDT,-124.005043,40.35152817,269,US Geological Survey,E
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,SAN JOAQUIN R,SAN JOAQUIN,-121.3231,37.865,0,CA Dept of Water Resources/O & M,E
BGF,BIG CK DIVERSION NR FISH CAMP,MERCED R,MARIPOSA,-119.61417,37.46944,5400,Madera Irrigation District,E
BIC,BIG CHICO CREEK NEAR CHICO,SACRAMENTO R,BUTTE,-121.7786026,39.76841736,274,CA Dept of Water Resources,E
BND,SACRAMENTO RIVER AT BEND BRIDGE,SACRAMENTO R,TEHAMA,-122.1866608,40.28848648,286,USGS and DWR,E
BNF,NORTH FORK BATTLE CREEK NEAR MANTON,SACRAMENTO R,TEHAMA,-121.9869461,40.42433167,998,CA Dept of Water Resources,E
BOS,BOREL CANAL SIPHON,KERN R,KERN,-118.5022,35.5931,2520,US Army Corps of Engineers,E
BPD,PARROT DIV FROM BUTTE CREEK,BUTTE CR,BUTTE,-121.7541885,39.70890427,269,CA Dept of Water Resources,E
BPG,BEAR RIVER AT PLEASANT GROVE RD,BEAR R,SUTTER,-121.4881,38.9833,75,CA Dept of Water Resources,E
BRA,SALINAS RIVER NEAR BRADLEY,SALINAS R,MONTEREY,-120.8687897,35.93024445,443,USGS and DWR,E
BRE,BEAR R AT ROLLINS RESERVOIR,BEAR R,PLACER,-120.953,39.133,1945,"Pacific Gas and Electric Company, Auburn",E
BRI,VAN DUZEN R NR BRIDGEVILLE AT GRIZZLY CR,VAN DUZEN R,HUMBOLDT,-123.8908768,40.48041534,358,USGS and DWR,E
BRK,BEAR CK AB HOLSTEN CYN NR RUMSEY,CACHE CR,COLUSA,-122.3427505,38.95767593,920,US Geological Survey,E
BRW,BEAR RIVER NEAR WHEATLAND,BEAR R,PLACER,-121.4066238,39.00017166,72,USGS and DWR,E
BSL,BUTTE SLOUGH NR MERIDIAN,SACRAMENTO R,SUTTER,-121.9016495,39.17147446,13,CA Dept of Water Resources,E
BTC,SACRAMENTO RIVER AT BUTTE CITY,SACRAMENTO R,GLENN,-121.9941635,39.45783997,99,CA Dept of Water Resources,E
CBD,CHERRY CK BL DION R PH NR MATHER,TUOLUMNE R,TUOLUMNE,-119.969902,37.89020157,2150,US Geological Survey,E
CBP,CHOWCHILLA BYPASS,SAN JOAQUIN R,MADERA,-120.285,36.774,170,San Luis Delta-Mendota Water Authority,E
CBR,AMERICAN RIVER AT CHILI BAR,AMERICAN R,EL DORADO,-120.816,38.772,931,"Pacific Gas and Electric Company, Auburn",E
CBV,CHERRY CK BL VALLEY DAM NR HETCH HETCHY,TUOLUMNE R,TUOLUMNE,-119.9174042,37.96770096,4337,US Geological Survey,E
CCY,CACHE CREEK AT YOLO,CACHE CR,YOLO,-121.8071899,38.72712708,86,US Geological Survey,E
CDM,EF RUSSIAN R BLW COYOTE DAM,RUSSIAN R,MENDOCINO,-123.1864,39.1975,614,US Army Corps of Engineers,E
CDR,COLUSA DRAIN NR HWY 20,SACRAMENTO R,COLUSA,-122.0605164,39.19551086,60,CA Dept of Water Resources,E
CEI,CHERRY CREEK NEAR EARLY INTAKE,TUOLUMNE R,TUOLUMNE,-119.9626846,37.89436722,2272,US Geological Survey,E
CFW,BEAR RIVER AT CAMP FAR WEST DAM,BEAR R,YUBA,-121.317,39.05,260,CA Dept of Water Resources,E
CHC,CHEROKEE CANAL NR RICHVALE,COTTONWOOD CR,BUTTE,-121.7447357,39.46470261,106,CA Dept of Water Resources,E
CHT,PAJARO RIVER AT CHITTENDEN,PAJARO R,SANTA CRUZ,-121.5977249,36.90023041,82,USGS and DWR,E
CLV,RUSSIAN RIVER AT CLOVERDALE,RUSSIAN R,MENDOCINO,-123.0536118,38.87934875,107,CA Dept of Water Resources,E
CLW,SACTO R AT COLUSA WEIR (CREST 61.8'),SACRAMENTO R,COLUSA,-121.9947586,39.23682022,70,CA Dept of Water Resources,E
CMF,"COSUMNES R, MID FK. NR SOMERSET",COSUMNES R,EL DORADO,-120.701,38.625,1648,CA Dept of Water Resources,E
CNF,"COSUMNES R, NO. FK. NR EL DORADO",COSUMNES R,EL DORADO,-120.843,38.59,840,CA Dept of Water Resources,E
COL,SACRAMENTO RIVER AT COLUSA,SACRAMENTO R,COLUSA,-122.0002518,39.21405792,-3,USGS and DWR,E
COW,COW CREEK NEAR MILLVILLE,SACRAMENTO R,SHASTA,-122.2330551,40.50487518,385,USGS and DWR,E
CRS,MERCED RIVER AT CRESSY,MERCED R,MERCED,-120.663,37.425,165,CA Dept of Water Resources,E
CSK,"CASTAIC CANYON CK, Z3-2388",SANTA CLARA R,LOS ANGELES,-118.6656,34.6061,1651,"CA Dept of Water Resources, Southern Div",E
CTK,COTTONWOOD CREEK NEAR FRIANT,SAN JOAQUIN R,MADERA,-119.696,36.967,300,US Bureau of Reclamation,E
CWA,COTTONWOOD CREEK AUXILIARY GAGE,COTTONWOOD CR,TEHAMA,-122.2386093,40.38709641,364,US Geological Survey,E
DCK,DONNER CREEK AT HWY 89,TRUCKEE R,NEVADA,-120.2079773,39.32101822,5870,US Geological Survey,E
DCM,DRY CREEK AT MODESTO AT CLAUS ROAD,TUOLUMNE R,STANISLAUS,-120.923,37.657,88,CA Dept of Water Resources,E
DCS,DEER CREEK NR SMARTVILLE,YUBA R,NEVADA,-121.2685699,39.22433853,630,US Geological Survey,E
DCV,DEER CREEK NR VINA,SACRAMENTO R,TEHAMA,-121.9483185,40.01404572,479,US Geological Survey,E
DCW,DRY CREEK NEAR WHEATLAND,BEAR R,YUBA,-121.4361,39.0236,63,US Geological Survey,E
DGC,TRINITY RIVER AT DOUGLAS CITY,TRINITY R,TRINITY,-122.956665,40.64527893,1600,US Geological Survey,E
DGY,DRY CK NR GEYSERVILLE,RUSSIAN R,SONOMA,-122.9569,38.6986,156,US Army Corps of Engineers,E
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,SACRAMENTO R,SACRAMENTO,-121.505,38.245,10,US Geological Survey,E
DLT,SACRAMENTO RIVER AT DELTA,SACRAMENTO R,SHASTA,-122.4172363,40.93959427,1075,US Geological Survey & US Bureau of Reclamation,E
DNB,SAN JOAQUIN R AT DONNY BRIDGE,SAN JOAQUIN R,MADERA,-119.9658,36.8335,239,US Bureau of Reclamation,E
DNC,DONNER CREEK AT DONNER LAKE,TRUCKEE R,NEVADA,-120.2343674,39.32351685,5924,US Geological Survey,E
DOS,MIDDLE FORK EEL RIVER NEAR DOS RIOS,EEL R,MENDOCINO,-123.3252945,39.70626831,900,US Geological Survey,E
DRY,DRY CREEK NEAR HEALDSBURG,RUSSIAN R,SONOMA,-122.8622131,38.58740997,90,CA Dept of Water Resources,E
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,SAN JOAQUIN R,CONTRA COSTA,-121.671,38.013,10,US Geological Survey,E
DSN,DRY CREEK NR SNELLING,MERCED R,MERCED,-120.463,37.555,230,Merced Irrigation District,E
DVD,DEER CREEK BELOW STANFORD VINA DAM,SACRAMENTO R,TEHAMA,-122.0343628,39.96361542,335,CA Dept of Water Resources,E
