Station Name,County,lon_X,lat_Y,sta_ID,River Basin,Elev_ft,Operator,ppt_type
ARROYO DEL HAMBRE,CONTRA COSTA,-122.178,37.977,ABA,EAST BAY,800,Contra Costa County,16E
ARROYO CORTE MADERA DEL PRESIDIO,MARIN,-122.535,37.898,ACM,SF BAY,3,Marin County,16E
AUBURN DAM RIDGE,PLACER,-121.045,38.882,ADR,AMERICAN R,1200,US Bureau of Reclamation,16E
ALISO CANYON,VENTURA,-118.555,34.329,ALO,SANTA CLARA R,2780,Ventura County,16E
ARCADE CREEK AT WINDING WAY,SACRAMENTO,-121.347,38.645,AMC,AMERICAN R,70,Sacramento County,16E
ANGWIN,NAPA,-122.4332,38.5712,ANG,NAPA R,1815,CA Dept of Water Resources,16E
APTOS CREEK AT RIDER ROAD,SANTA CRUZ,-121.8528,37.0361,APT,SAN LORENZO R,1123,Santa Cruz County,16E
ARROWHEAD SPRINGS HOTEL,SAN BERNARDINO,-117.264,34.184,ARS,LYTLE CR,2000,None Specified,16E
ARDEN WAY,SACRAMENTO,-121.413,38.596,ARW,AMERICAN R,35,Sacramento County,16E
ATLAS PEAK,NAPA,-122.25,38.433,ATL,NAPA R,1660,CA Dept of Water Resources,16E
BATES CREEK RANCH,SANTA CRUZ,-121.93,37.0208,BAK,SAN LORENZO R,440,Santa Cruz County,16E
BALD MOUNTAIN (KERN CO),KERN,-118.279,36.02,BAM,KERN R,8290,Kern County,16E
BROKEN ARROW RANCH,SAN JOAQUIN,-121.512,37.524,BAW,SAN JOAQUIN R,3083,San Joaquin County,16E
BACK CANYON (SOUTH),KERN,-118.36,35.309,BCS,CALIENTE CR,3490,Kern County,16E
BOULDER CREEK,SANTA CRUZ,-122.163,37.142,BDC,SAN LORENZO R,800,Santa Cruz County,16E
BIG DALTON DAM,LOS ANGELES,-117.808,34.17,BDD,SAN GABRIEL R,1587,None Specified,16E
BALD MOUNTAIN (USBR),FRESNO,-119.4,37.067,BDM,SAN JOAQUIN R,4720,US Bureau of Reclamation,16E
BRANDY CREEK,SHASTA,-122.567,40.617,BDY,SACTO VLY NE,1300,US Bureau of Reclamation,16E
BRIDGEVILLE,HUMBOLDT,-123.792,40.474,BGV,VAN DUZEN R,646,CA Dept of Water Resources,16E
BLUE CANYON,PLACER,-120.7081,39.2761,BLC,AMERICAN R,5280,US Bureau of Reclamation,16E
BLOODS CREEK,ALPINE,-120.033,38.45,BLD,STANISLAUS R,7200,US Bureau of Reclamation,16E
BLACKLOCK (NE1),SOLANO,-121.9069,38.1801,BLL,SACRAMENTO R,0,"CA Dept of Water Resources, DES",16E
BLACK MOUNTAIN,SAN LUIS OBISPO,-120.353,35.395,BLM,SALINAS R,3625,CA Dept of Water Resources,16E
BEN LOMOND,SANTA CRUZ,-122.075,37.093,BLN,SAN LORENZO R,365,Santa Cruz County,16E
BLACK SPRINGS,CALAVERAS,-120.192,38.375,BLS,STANISLAUS R,6500,US Bureau of Reclamation,16E
BALD MOUNTAIN #2,SAN JOAQUIN,-121.35,37.58,BM2,SAN JOAQUIN R,2865,National Weather Service,16E
BURNING MOSCOW,KERN,-118.2547,35.4656,BMC,KERN R,5920,Kern County,16E
BARONA,SAN DIEGO,-116.84,32.999,BNA,SAN DIEGO R,1280,San Diego County,16E
BONANZA KING,TRINITY,-122.628,41.083,BNK,TRINITY R,6450,US Bureau of Reclamation,16E
BOB RABBIT,KERN,-118.288,35.568,BOB,KERN R,3848,Kern County,16E
BOWMAN LAKE,NEVADA,-120.6536,39.4481,BOL,YUBA R,5390,CA Dept of Water Resources,16E
BALD PEAK,CONTRA COSTA,-122.2219,37.8836,BPK,SF BAY,1905,Contra Costa County,16E
BIG PINE MEADOW,KERN,-118.063,35.947,BPM,KERN R,7340,Kern County,16E
SALINAS RIVER NEAR BRADLEY,MONTEREY,-120.8687897,35.93024445,BRA,SALINAS R,443,USGS and DWR,16E
BEAR R AT ROLLINS RESERVOIR,PLACER,-120.953,39.133,BRE,BEAR R,1945,"Pacific Gas and Electric Company, Auburn",16E
BEAR RIVER NEAR WHEATLAND,PLACER,-121.4066238,39.00017166,BRW,BEAR R,72,USGS and DWR,16E
BRENTWOOD - CONTRA COSTA CO CORP YARD,CONTRA COSTA,-121.678,37.92,BTD,EAST BAY,95,Contra Costa County,16E
BATTLE RIDGE,TEHAMA,-121.75,40.333,BTR,SACTO VLY WEST,3400,US Bureau of Reclamation,16E
BULLARDS BAR,YUBA,-121.1439,39.3963,BUD,YUBA R,2100,Yuba County Water Agency,16E
BROWNS VALLEY (CORRALITOS 4NW),SANTA CRUZ,-121.777,37.025,BWV,PAJARO R,360,Santa Cruz County,16E
BIXLER PUMPING PLANT,CONTRA COSTA,-121.6235,37.9397,BXP,DELTA,14,Contra Costa County,16E
CAMP ANGELUS,SAN BERNARDINO,-116.978,34.15,CAG,SANTA ANA R,5780,None Specified,16E
CAPLES LAKE,ALPINE,-120.042,38.71,CAP,AMERICAN R,8000,US Bureau of Reclamation,16E
COW CREEK (USBR),SHASTA,-121.853,40.603,CCE,SACTO VLY NE,2840,US Bureau of Reclamation,16E
CORRALITOS CREEK @ FREEDOM,SANTA CRUZ,-121.7692,36.9392,CCF,PAJARO R,100,Santa Cruz County,16E
CONCORD PAVILION,CONTRA COSTA,-121.9377,37.985,CCP,SF BAY,558,Contra Costa County,16E
COFFEE RIDGE,TRINITY,-122.717,41.083,CFR,TRINITY R,3040,US Bureau of Reclamation,16E
BEAR RIVER AT CAMP FAR WEST DAM,YUBA,-121.317,39.05,CFW,BEAR R,260,CA Dept of Water Resources,16E
COLGATE PH,YUBA,-121.19,39.3308,CGT,YUBA R,600,CA Dept of Water Resources,16E
CHICAGO,SACRAMENTO,-121.254,38.652,CHG,AMERICAN R,210,Sacramento County,16E
CHILKOOT MEADOW,MADERA,-119.49,37.41,CHM,SAN JOAQUIN R,7150,US Bureau of Reclamation,16E
PAJARO RIVER AT CHITTENDEN,SANTA CRUZ,-121.5977249,36.90023041,CHT,PAJARO R,82,USGS and DWR,16E
CHEWS RIDGE,MONTEREY,-121.57,36.312,CHW,CARMEL R,5040,Monterey County,16E
CITY CREEK RANGER STATION,SAN BERNARDINO,-117.181,34.186,CKC,SANTA ANA R,2610,None Specified,16E
COVELO,MENDOCINO,-123.083191,39.826111,CLO,EEL R,1487,CA Dept of Water Resources,16E
CLEAR CREEK,SHASTA,-122.667,40.639,CLR,SACTO VLY NE,3300,US Bureau of Reclamation,16E
COLLINS LAKE,YUBA,-121.3271,39.3376,CLS,YUBA R,1270,Brown's Valley Irrigation District,16E
RUSSIAN RIVER AT CLOVERDALE,MENDOCINO,-123.0536118,38.87934875,CLV,RUSSIAN R,107,CA Dept of Water Resources,16E
CUMMINGS PEAK,CONTRA COSTA,-122.197,38.028,CMG,EAST BAY,895,Contra Costa County,16E
CASTLE MOUNTAIN,FRESNO,-120.328,35.942,CMT,SALINAS R,4000,CA Dept of Water Resources/O & M,16E
CAPERTON RESERVOIR,SACRAMENTO,-121.218,38.863,CPR,AMERICAN R,620,City of Roseville,16E
PETALUMA RIVER NR CORONA ROAD,SONOMA,-122.667,38.267,CRD,PETALUMA R,30,City of Petaluma,16E
CRESTA PARK,SACRAMENTO,-121.368,38.593,CRP,AMERICAN R,70,Sacramento County,16E
CORRECTIONAL CTR,SACRAMENTO,-121.424,38.307,CRT,COSUMNES R,18,Sacramento County,16E
CAMANCHE SO. STA.2,CALAVERAS,-120.972,38.204,CS2,MOKELUMNE R,331,San Joaquin County,16E
CRYSTAL SPRINGS COTTAGE,SAN MATEO,-122.329,37.496,CSC,SAN MATEO CREEK,343,City of San Francisco,16E
CALIFORNIA STATE UNIV AT SACRAMENTO,SACRAMENTO,-121.416,38.555,CSU,AMERICAN R,25,National Weather Service,16E
CRESTLINE,SAN BERNARDINO,-117.265,34.272,CTL,MOJAVE R,4650,None Specified,16E
COTTONWOOD CREEK NEAR BEEGUM,TEHAMA,-122.881,40.317,CTN,COTTONWOOD CR,3400,US Bureau of Reclamation,16E
CHEVRON PUMP PLANT,CONTRA COSTA,-121.855,37.998,CVP,SAN JOAQUIN R,130,Contra Costa County,16E
CALAVERAS RANGER STATION,CALAVERAS,-120.367,38.198,CVS,MOKELUMNE R,3360,US Bureau of Reclamation,16E
