"OBJECTID","HUC_12","ZONE_CODE","COUNT_","AREA","MIN_","MAX_","RANGE","MEAN","STD","SUM_"
1,"160503010101",1,526898,52689800.000000,1986.805541,3775.120117,1788.314575,2881.412109,390.295043,1518210304.00000
2,"160503020102",2,836428,83642800.000000,2216.706542,3573.916259,1357.209716,2825.795410,243.164505,2363574272.00000
3,"160503020101",3,517368,51736800.000000,2216.598144,3303.054443,1086.456298,2825.098632,208.606109,1461615616.00000
4,"160503020103",4,773629,77362896.000000,2278.554931,3527.898193,1249.343261,2898.836181,266.520385,2242623744.00000
5,"160503020104",5,527588,52758800.000000,2177.768798,3520.383300,1342.614501,2805.811279,284.942413,1480312448.00000
6,"160503020105",6,550970,55097000.000000,2051.827636,3489.368164,1437.540527,2567.564453,341.637725,1414651008.00000
7,"160502010103",7,770235,77023504.000000,1850.977539,3330.939941,1479.962402,2539.159423,290.634399,1955749376.00000
8,"160501020203",8,561309,56130900.000000,1860.889404,2774.690673,913.801269,2193.417236,191.771148,1231184896.00000
9,"160501020102",9,484183,48418300.000000,1894.241699,2785.147949,890.906250,2199.762451,173.858932,1065087552.00000
10,"160501020101",10,638073,63807300.000000,1995.722167,2785.027832,789.305664,2222.925048,137.498962,1418388352.00000
11,"160503010201",11,927654,92765400.000000,2104.407958,3097.950683,993.542724,2546.387451,138.605316,2362166528.00000
12,"160503010208",12,1331004,133100400.000000,1702.249145,2918.079345,1215.830200,2040.949340,209.131240,2716511744.00000
13,"180901020801",13,1502227,150222704.000000,1216.404052,2882.435302,1666.031250,2182.666748,284.166473,3278861056.00000
14,"180901020709",14,1069909,106990896.000000,1193.051635,4347.900390,3154.848632,2895.209472,744.695434,3097610496.00000
15,"180400060903",15,655934,65593400.000000,1474.408203,3012.663574,1538.255371,2407.451171,214.372573,1579128960.00000
16,"180400080301",16,1098723,109872304.000000,1206.645996,3308.271240,2101.625244,2509.210937,267.213226,2756927744.00000
17,"180400091206",17,983677,98367696.000000,235.877349,473.437011,237.559661,292.681762,44.241333,287904320.000000
