"OBJECTID","HUC_12","SUM_nbxarea","RANGE_yslb","MEAN_yslb","MAX_yslb","SUM_nb","SUM_brnarea_km","Shape_Length","Shape_Area","NFR","FRI","h12_areaKm","PrcntBrn100","PrcntBrnArea","MIN_yslb","meanFRID","maxFRID","minFRID"
3,"160501010101",2.029039,4.000000,3.000000,5.000000,5.000000,2.029039,13880.737577,2029039.860740,4090.506435,0.050000,82.998006,0.024446,0.024446,1,-0.999266,-0.998777,-0.999755
4,"160501010102",0.020953,0.000000,2.000000,2.000000,15.000000,0.020953,2360.695297,20953.384765,286279.235123,0.150000,59.985189,0.000349,0.000349,2,-0.999993,-0.999993,-0.999993
5,"160501010201",0.242170,17.000000,32.500000,41.000000,2.000000,0.242170,3495.204698,242030.709334,22218.742877,0.020000,53.807302,0.004500,0.004500,24,-0.998537,-0.998154,-0.998919
6,"160501010202",5.889142,39.000000,3.193548,41.000000,62.000000,5.889142,60893.122193,5889173.672376,1758.236415,0.620000,103.545049,0.056875,0.056875,2,-0.998183,-0.976681,-0.998862
7,"160501010301",1.167957,0.000000,6.000000,6.000000,1.000000,1.167957,5749.512318,1167957.816208,6086.451663,0.010000,71.087187,0.016429,0.016429,6,-0.999014,-0.999014,-0.999014
8,"160501010302",0.147245,4.000000,4.000000,6.000000,10.000000,0.147245,5915.244398,147098.957006,71546.574448,0.100000,105.348824,0.001397,0.001397,2,-0.999944,-0.999916,-0.999972
9,"160501010303",10.068079,20.000000,2.333333,21.000000,40.000000,10.055095,24244.317882,10054825.799267,771.525932,0.400000,77.677842,0.129613,0.129446,1,-0.996975,-0.972781,-0.998703
10,"160501010401",4.132945,83.000000,13.705882,84.000000,18.000000,4.087590,30848.594128,4086997.348827,1979.502457,0.180000,81.811747,0.050517,0.049963,1,-0.993076,-0.957565,-0.999494
11,"160501010402",8.641462,91.000000,23.758620,93.000000,35.000000,7.872636,35351.629434,7871673.660429,1170.393557,0.350000,101.139122,0.085441,0.077839,2,-0.979700,-0.920539,-0.998291
12,"160501010403",1.253664,1.000000,1.758620,2.000000,31.000000,1.206244,17814.322251,1206166.211390,6176.688988,0.310000,77.434973,0.016189,0.015577,1,-0.999715,-0.999676,-0.999838
13,"160501020102",4.192423,80.000000,24.888888,82.000000,10.000000,4.170603,31828.734942,4170416.059472,1154.905381,0.100000,48.418529,0.086587,0.086136,2,-0.978449,-0.928998,-0.998268
14,"160501020103",3.941909,80.000000,13.166666,82.000000,14.000000,3.923608,27078.094267,3923562.636681,1166.358704,0.140000,45.976803,0.085736,0.085338,2,-0.988711,-0.929695,-0.998285
15,"160501020104",38.934604,42.000000,51.000000,82.000000,9.000000,31.620422,55402.818055,31620364.552185,125.514834,0.090000,48.868704,0.796718,0.647048,40,-0.593673,-0.346690,-0.681312
16,"160501020105",56.883543,77.000000,27.684210,84.000000,33.000000,50.773416,59399.106108,50772942.906183,149.978763,0.330000,85.313235,0.666761,0.595141,7,-0.815412,-0.439920,-0.953326
17,"160501020106",38.072547,96.000000,42.058823,98.000000,22.000000,35.166813,78650.929520,35166674.839294,157.566233,0.220000,59.989479,0.634653,0.586216,2,-0.733072,-0.378039,-0.987306
18,"160501020107",37.259346,96.000000,33.641025,98.000000,59.000000,31.087822,80990.166945,31087638.635881,251.939771,0.590000,93.871113,0.396920,0.331175,2,-0.866471,-0.611018,-0.992061
19,"160501020201",11.924376,81.000000,43.153846,82.000000,18.000000,10.805649,33226.074848,10805649.860717,637.785523,0.180000,76.051946,0.156792,0.142082,1,-0.932337,-0.871430,-0.998432
20,"160501020202",13.122145,80.000000,29.562500,82.000000,18.000000,11.041440,27994.879789,11041477.539934,964.161801,0.180000,126.518716,0.103717,0.087271,2,-0.969338,-0.914952,-0.997925
21,"160501020203",7.268798,52.000000,68.666666,100.000000,3.000000,7.268798,27072.162323,7268798.324281,772.171839,0.030000,56.127613,0.129504,0.129504,48,-0.911073,-0.870495,-0.937837
22,"160501020204",3.032517,88.000000,61.571428,90.000000,7.000000,3.032517,16193.954524,3031497.426079,3570.577191,0.070000,108.278378,0.028006,0.028006,2,-0.982755,-0.974793,-0.999439
