roughness,location,mean_bias,MAE,RMSE
0.02,1,-0.1,0.1,0.01
0.04,1,-0.1,0.1,0.01
0.08,1,-0.2,0.2,0.04
0.1,1,-0.2,0.2,0.05
0.12,1,-0.3,0.3,0.08
0.02,2,0.2,0.2,0.02
0.04,2,0.1,0.1,0.01
0.08,2,0,0,0
0.1,2,-0.1,0.1,0
0.12,2,-0.1,0.1,0.01
0.02,3,0.3,0.3,0.08
0.04,3,0.2,0.2,0.04
0.08,3,0,0,0
0.1,3,-0.1,0.1,0.01
0.12,3,-0.2,0.2,0.03
0.02,4,0.3,0.3,0.1
0.04,4,0.2,0.2,0.03
0.08,4,-0.1,0.1,0.01
0.1,4,-0.2,0.2,0.04
0.12,4,-0.3,0.3,0.09
0.02,5,0.7,0.7,0.52
0.04,5,0.4,0.4,0.14
0.08,5,0.1,0.1,0.01
0.1,5,-0.1,0.1,0
0.12,5,-0.1,0.1,0.02
0.02,6,1.1,1.1,1.2
0.04,6,0.5,0.5,0.22
0.08,6,0,0,0
0.1,6,-0.1,0.1,0
0.12,6,-0.2,0.2,0.04
0.02,7,1.4,1.4,2.04
0.04,7,0.7,0.7,0.49
0.08,7,0.1,0.1,0.01
0.1,7,0,0,0
0.12,7,-0.1,0.1,0.01
0.02,8,1.8,1.8,3.31
0.04,8,0.9,0.9,0.75
0.08,8,0.3,0.3,0.11
0.1,8,0,0,0
0.12,8,-0.1,0.1,0.01
0.02,9,1.5,1.5,2.2
0.04,9,0.7,0.7,0.43
0.08,9,-0.2,0.2,0.04
0.1,9,-0.4,0.4,0.15
0.12,9,-0.5,0.5,0.29
